stop_id,at_street,corner_placement,heading,location_type,on_street,parent_station,stop_code,stop_desc,stop_lat,stop_lon,stop_name,stop_position,stop_timezone,stop_url,wheelchair_boarding,zone_id
6318,Staggerbrush,SE,101,0,290 Hwy,,6318,005107 290 Hwy & Staggerbrush,30.235685,-97.828488,5107 290 Hwy/Staggerbrush,F,,https://www.capmetro.org/stopdetail/index.php?stop=6318,0,
6319,35,SE,92,0,Slaughter,,6319,000128 Slaughter & 35,30.166826,-97.784071,128 Slaughter/35,F,,https://www.capmetro.org/stopdetail/index.php?stop=6319,0,
6320,Industrial Oaks,NW,270,0,290 Hwy,,6320,005504 290 Hwy & Industrial Oaks,30.237159,-97.840989,5504 290 Hwy/Industrial Oaks,F,,https://www.capmetro.org/stopdetail/index.php?stop=6320,0,
6321,35,NE,271,0,Slaughter,,6321,000149 Slaughter & 35,30.167111,-97.783798,149 Slaughter/35,N,,https://www.capmetro.org/stopdetail/index.php?stop=6321,0,
6322,Congress,SW,91,0,Slaughter,,6322,000117 Slaughter & Congress,30.166994,-97.789102,130 Slaughter/Congress,N,,https://www.capmetro.org/stopdetail/index.php?stop=6322,0,
6323,Narrow Glen,SW,156,0,Slaughter,,6323,000626 Slaughter & Narrow Glen,30.162931,-97.778341,626 Slaughter/Narrow Glen,N,,https://www.capmetro.org/stopdetail/index.php?stop=6323,0,
6324,Narrow Glen,NW,340,0,Slaughter,,6324,000515 Slaughter & Narrow Glen,30.164163,-97.778484,515 Slaughter/Narrow Glen,F,,https://www.capmetro.org/stopdetail/index.php?stop=6324,0,
6325,E Slaughter To Brandt,SW,157,0,Slaughter,,6325,000732 Slaughter & E Slaughter To Brandt,30.160354,-97.776979,732 Slaughter/E Slaughter To Brandt,N,,https://www.capmetro.org/stopdetail/index.php?stop=6325,0,
6326,E Slaughter To Brandt,NW,335,0,Slaughter,,6326,000729 Slaughter & E Slaughter To Brandt,30.160628,-97.776726,729 Slaughter/E Slaughter To Brandt,F,,https://www.capmetro.org/stopdetail/index.php?stop=6326,0,
6327,Congress,NW,273,0,Slaughter,,6327,000132 Slaughter & Congress,30.167294,-97.789084,132 Slaughter/Congress,F,,https://www.capmetro.org/stopdetail/index.php?stop=6327,0,
6328,Orchard Ridge,SE,106,0,Slaughter,,6328,001708 Slaughter & Orchard Ridge,30.152644,-97.768626,1708 Slaughter/Orchard Ridge,F,,https://www.capmetro.org/stopdetail/index.php?stop=6328,0,
6329,Orchard Ridge,NW,287,0,Slaughter,,6329,001599 Slaughter & Orchard Ridge,30.153115,-97.769361,1599 Slaughter/Orchard Ridge,F,,https://www.capmetro.org/stopdetail/index.php?stop=6329,0,
6330,Cesar Chavez,NW,201,0,Chicon,,6330,000091 Chicon & Cesar Chavez,30.257258,-97.724661,102 Chicon/Cesar Chavez,N,,https://www.capmetro.org/stopdetail/index.php?stop=6330,0,
6331,Cesar Chavez,NE,21,0,Chicon,,6331,000090 Chicon & Cesar Chavez,30.257488,-97.724394,107 Chicon/Cesar Chavez,F,,https://www.capmetro.org/stopdetail/index.php?stop=6331,0,
